Unnamed: 0,titre,year,imdbID,GG,DGA,PGA,SAG,BAFTA,Notes TMDB,Release Quarter,Oscar,Duration,NotesIMDb,NotesRottenTomatoes,NotesMetacritic,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Holiday,Horror,Kids & family,Lgbtq+,Musical,Mystery & thriller,Romance,Sci-fi,War,Western,Nommination Bafta,Nommination SAG,Nommination PGA,Nommination DGA,Nommination GG
0,Maestro,2023,0.0,0,0,0,0,0,6.4,4,0,129,6.6,0,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,Barbie,2023,0.0,1,0,0,0,0,7.1,3,0,114,6.9,0,8,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2,The Zone of Interest,2023,0.0,0,0,0,0,0,7.3,1,0,105,7.9,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
3,American Fiction,2023,0.0,0,0,0,0,0,7.3,4,0,117,7.9,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4,Killers of the Flower Moon,2023,0.0,0,0,1,1,0,7.5,4,0,206,7.7,0,9,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
5,Oppenheimer,2023,0.0,1,1,0,1,1,8.1,3,0,180,8.4,0,9,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
6,Poor Things,2023,0.0,0,0,0,0,0,8.1,1,0,141,8.4,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
7,Anatomy of a Fall,2023,0.0,1,0,0,0,0,7.7,3,0,151,7.8,0,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
8,Past Lives,2023,0.0,0,0,0,0,0,7.8,2,0,105,8.0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
9,The Holdovers,2023,0.0,0,0,0,1,0,7.8,4,0,133,8.0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
